demo-sample-receipt	0	npm run test:claims -- --grep @claim:demo-sample-receipt
resume-reset	0	npm run test:claims -- --grep @claim:resume-reset
local-only-files	0	npm run test:claims -- --grep @claim:local-only-files
receipt-exports	0	npm run test:claims -- --grep @claim:receipt-exports
sha256-evidence	0	npm run test:claims -- --grep @claim:sha256-evidence
hash-boundary	0	npm run test:unit -- -t @claim:hash-boundary
comparison-manifest	0	npm run test:claims -- --grep @claim:comparison-manifest
multi-folder-receipt	0	npm run test:claims -- --grep @claim:multi-folder-receipt
saf-read-only	0	npm run test:unit -- -t @claim:saf-read-only
android-private-backup	0	npm run test:unit -- -t @claim:android-private-backup
android-updates	0	npm run test:unit -- -t @claim:android-updates
local-metadata-storage	0	npm run test:claims -- --grep @claim:local-metadata-storage
migration-archive	0	npm run test:claims -- --grep @claim:migration-archive
license-revocation	0	npm run test:claims -- --grep @claim:license-revocation
print-view	0	npm run test:claims -- --grep @claim:print-view
responsive-keyboard	0	npm run test:claims -- --grep @claim:responsive-keyboard
offline-reload	0	npm run test:claims -- --grep @claim:offline-reload
offline-exports	0	npm run test:claims -- --grep @claim:offline-exports
